abandon;porzucić
name;nagi
narrative;imię
narrow;narracja
nation;wąski
national;naród
native;narodowy
natural;rodzimy
naturally;naturalny
nature;naturalnie
near;natura
nearby;w pobliżu
nearly;w pobliżu
necessarily;prawie
necessary;koniecznie
neck;konieczne
need;szyja
negative;potrzeba
negotiate;negatywny
negotiation;negocjować
neighbor;negocjacje
neighborhood;sąsiad
neither;sąsiedztwo
nerve;ani
nervous;nerw
net;nerwowy
network;sieć
never;sieć
nevertheless;nigdy
new;mimo to
newly;nowy
news;nowo
newspaper;wiadomość
next;gazeta
nice;następny
night;miła
nine;noc
no;dziewięć
nobody;nie
nod;nikt
noise;nod
nomination;noise
none;nominacja
nonetheless;żaden
nor;niemniej jednak
normal;ani
normally;normalnie
north;normalnie
northern;północ
nose;północna
not;nos
note;nie
nothing;notatka
notice;nic
notion;zauważyć
novel;pojęcie
now;nowość
nowhere;teraz
n't;nigdzie
nuclear;nie
number;nuklearny
numerous;numer
nurse;liczne
nut;pielęgniarka
object;nakrętka
objective;przedmiot
obligation;cel
observation;obowiązek
observe;obserwacja
observer;obserwować
obtain;obserwator
obvious;uzyskać
obviously;oczywiste
occasion;oczywiście
occasionally;okazja
occupation;okazjonalnie
occupy;zajęcie
occur;zajęcie
ocean;wystąpić
odd;ocean
odds;dziwny
of;szanse
off;z
offense;poza
offensive;atak
offer;ofensywny
office;oferta
officer;biuro
official;urzędnik
often;urzędnik
oh;często
oil;oh
ok;olej
okay;ok
old;ok.
Olympic;stary
on;Olimpia
once;na
one;raz
ongoing;jeden
onion;trwający
online;cebula
only;online
onto;tylko
open;na
opening;otwarcie
operate;otwarcie
operating;działać
operation;działający
operator;operacja
opinion;operator
opponent;opinia
opportunity;przeciwnik
oppose;możliwość
opposite;sprzeciwiać się
opposition;przeciwny
option;opozycja
or;opcja
orange;lub
order;pomarańczowy
ordinary;zamówienie
organic;zwykły
organization;organiczny
organize;organizacja
orientation;zorganizować
origin;orientacja
original;pochodzenie
originally;oryginał
other;oryginalnie
others;inne
otherwise;inni
ought;inaczej
our;powinien
ourselves;nasz
out;sami
outcome;poza
outside;wynik
oven;poza
over;piekarnik
overall;nad
overcome;ogólnie
overlook;pokonać
owe;przeoczyć
own;zawdzięczać
owner;własny
pace;właściciel
pack;odmierzać tempo
package;zapakować
page;pakiet
pain;strona
painful;ból
paint;bolesny
painter;farba
painting;malarz
pair;malowanie
pale;para
Palestinian;blady
palm;Palestyńczyk
pan;palma
panel;pan
pant;panel
paper;figa
parent;papier
park;rodzic
parking;park
part;parking
participant;część
participate;uczestnik
participation;udział
particular;udział
particularly;szczególny
partly;szczególnie
partner;częściowo
partnership;partner
party;partnerstwo
pass;strona
passage;przejść
passenger;przejazd
passion;pasażer
past;pasja
patch;przeszłość
path;łata
patient;ścieżka
pattern;pacjent
pause;wzór
pay;pauza
payment;płacić
PC;płatność
peace;PC
peak;pokój
peer;szczyt
penalty;rówieśnik
people;kara
pepper;ludzie
per;pieprz
perceive;na
percentage;postrzegać
perception;procent
perfect;percepcja
perfectly;doskonale
perform;doskonale
performance;wykonać
perhaps;wykonanie
period;być może
permanent;okres
permission;trwały
permit;zezwolenie
person;pozwolenie
personal;osoba
personality;osobisty
personally;osobowość
personnel;osobiście
perspective;personel
persuade;perspektywa
pet;przekonuj
phase;pet
phenomenon;faza
philosophy;zjawisko
phone;filozofia
photo;telefon
photograph;zdjęcie
photographer;fotografia
phrase;fotograf
physical;wyrażenie
physically;fizycznie
physician;fizycznie
piano;lekarz
pick;fortepian
picture;wybrać
pie;zdjęcie
piece;placek
pile;kawałek
pilot;kupka
pine;pilot
pink;sosna
pipe;różowy
pitch;rura
place;smoła
plan;miejsce
plane;planować
planet;samolot
planning;planeta
plant;planowanie
plastic;roślina
plate;plastik
platform;płyta
play;platforma
player;play
please;gracz
pleasure;proszę
plenty;przyjemność
plot;mnóstwo
plus;wątek
PM;plus
pocket;PM
poem;kieszeń
poet;wiersz
poetry;poeta
point;poezja
pole;punkt
police;słup
policy;policja
political;polityka
politically;polityczna
politician;politycznie
politics;polityk
poll;polityka
pollution;sonda
pool;zanieczyszczenie
poor;basen
pop;biedni
popular;pop
population;popularny
porch;ludność
port;ganek
portion;port
portrait;porcja
portray;portret
pose;przedstawiać
position;pozować
positive;pozycja
possess;pozytywny
possibility;posiadać
possible;możliwość
possibly;możliwe
post;ewentualnie
pot;po
potato;garnek
potential;ziemniak
potentially;potencjalnie
pound;potencjalnie
pour;funt
poverty;pour
powder;ubóstwo
power;puder
powerful;moc
practical;mocny
practice;praktyczny
pray;praktyka
prayer;modlić się
precisely;modlitwa
predict;dokładnie
prefer;przewidywać
preference;preferować
pregnancy;preferencja
pregnant;ciąża
preparation;w ciąży
prepare;przygotowanie
prescription;przygotować
presence;recepta
present;obecność
presentation;prezent
preserve;prezentacja
president;zachować
presidential;prezydent
press;prezydencki
pressure;prasa
pretend;nacisk
pretty;udawać
prevent;całkiem
previous;zapobiec
previously;poprzednio
price;wcześniej
pride;cena
priest;duma
primarily;ksiądz
primary;przede wszystkim
prime;pierwotny
principal;naczelny
principle;główny
print;zasada
prior;druk
priority;wcześniejszy
prison;priorytet
prisoner;więzienie
privacy;więzień
private;prywatność
probably;prywatna
problem;prawdopodobnie
procedure;problem
proceed;procedura
process;postępować
produce;proces
producer;produkować
product;producent
production;produkt
profession;produkcja
professional;zawód
professor;profesjonalista
profile;profesor
profit;profil
program;zysk
progress;program
project;postęp
prominent;projekt
promise;wybitny
promote;obietnica
prompt;promować
proof;szybki
proper;dowód
properly;właściwy
property;właściwie
proportion;własność
proposal;proporcja
propose;propozycja
proposed;zaproponować
prosecutor;proponowany
prospect;prokurator
protect;perspektywa
protection;chronić
protein;ochrona
protest;białko
proud;protest
prove;dumny
provide;udowodnić
provider;dostarczać
province;dostawca
provision;prowincja
psychological;przepis
psychologist;psycholog
psychology;psycholog
public;psychologia
publication;publiczny
publicly;publikacja
publish;publicznie
publisher;publikować
pull;wydawca
punishment;ciągnięcie
purchase;kara
pure;zakup
purpose;czysty
pursue;cel
push;realizować
put;naciskać
qualify;umieścić
quality;kwalifikować
quarter;jakość
quarterback;quarter
question;quarterback
quick;pytanie
quickly;szybko
quiet;szybko
quietly;cicho
quit;cicho
quite;zrezygnować
quote;dość
race;cytat
racial;rasa
radical;rasowy
radio;radykalny
rail;radio
rain;kolej
raise;deszcz
range;podnosić
rank;zasięg
rapid;ranga
rapidly;szybko
rare;gwałtownie
rarely;rzadki
rate;rzadko
rather;tempo
rating;raczej
ratio;ocena
raw;stosunek
reach;surowy
react;zasięg
reaction;reagować
read;reakcja
reader;czytaj
reading;czytelnik
ready;czytanie
real;gotowy
reality;prawdziwy
realize;rzeczywistość
really;realizować
reason;naprawdę
reasonable;powód
recall;rozsądny
receive;przypomnieć sobie
recent;otrzymać
recently;ostatnio
recipe;ostatnio
recognition;przepis
recognize;uznanie
recommend;rozpoznać
recommendation;polecanie
record;rekomendacja
recording;nagrywanie
recover;nagranie
recovery;odzyskanie
recruit;odzyskanie
red;rekrutacja
reduce;czerwony
reduction;zmniejszenie
refer;redukcja
reference;odsyłacz
reflect;odsyłacz
reflection;odbicie
reform;odbicie
refugee;reforma
refuse;uchodźca
regard;odmówić
regarding;w odniesieniu do
regardless;dotyczący
regime;niezależnie od
region;reżim
regional;region
register;regionalny
regular;rejestr
regularly;regularnie
regulate;regularnie
regulation;regulować
reinforce;regulacja
reject;wzmocnić
relate;odrzucić
relation;odnosić się
relationship;relacja
relative;związek
relatively;względny
relax;stosunkowo
release;relaks
relevant;zwolnienie
relief;odpowiedni
religion;ulga
religious;religia
rely;religijne
remain;polegać
remaining;pozostać
remarkable;pozostać
remember;wybitny
remind;pamiętać
remote;przypomnieć
remove;zdalny
repeat;usunąć
repeatedly;powtórzyć
replace;wielokrotnie
reply;zastąpić
report;reply
reporter;raport
represent;reporter
representation;reprezentować
representative;reprezentacja
Republican;przedstawiciel
reputation;republikanin
request;reputacja
require;żądanie
requirement;wymagać
research;wymóg
researcher;badania
resemble;badacz
reservation;podobny do
resident;rezerwacja
resist;mieszkaniec
resistance;oprzeć się
resolution;opór
resolve;rezolucja
resort;rozstrzygnąć
resource;kurort
respect;zasób
respond;szacunek
respondent;reagować
response;respondent
responsibility;odpowiedź
responsible;odpowiedzialność
rest;odpowiedzialny
restaurant;odpoczynek
restore;restauracja
restriction;przywrócić
result;ograniczenie
retain;wynik
retire;zatrzymywać
retirement;wycofać się
return;emerytura
reveal;powrót
revenue;ujawnić
review;przychód
revolution;przegląd
rhythm;rewolucja
rice;rytm
rich;ryż
rid;bogaty
ride;rid
rifle;ride
right;karabin
ring;prawo
rise;ring
risk;rise
river;ryzyko
road;rzeka
rock;droga
role;skała
roll;rola
romantic;roll
roof;romantyczny
room;dach
root;pokój
rope;korzeń
rose;lina
rough;róża
roughly;szorstko
round;wstępnie
route;okrągły
routine;trasa
row;rutyna
rub;rząd
rule;pocierać
run;zasada
running;bieg
rural;biegnący
rush;wiejski
Russian;pośpiech
sacred;rosyjski
sad;święty
safe;smutny
safety;bezpieczny
sake;bezpieczeństwo
salad;sake
salary;sałatka
sale;wynagrodzenie
sales;sprzedaż
salt;sprzedaż
same;sól
sample;to samo
sanction;próbka
sand;sankcja
satellite;piasek
satisfaction;satelita
satisfy;satysfakcja
sauce;zadowolenie
save;sos
saving;uratować
say;oszczędzanie
scale;powiedzieć
scandal;skala
scared;skandal
scenario;przestraszony
scene;scenariusz
schedule;scena
scheme;harmonogram
scholar;schemat
scholarship;stypendysta
school;stypendium
science;szkoła
scientific;nauka
scientist;naukowy
scope;naukowiec
score;zakres
scream;wynik
screen;krzyk
script;ekran
sea;scenariusz
search;morze
season;wyszukiwanie
seat;sezon
second;siedziba
secret;drugi
secretary;sekret
section;sekretarz
sector;sekcja
secure;sektor
security;bezpieczny
see;bezpieczeństwo
seed;patrz
seek;nasiona
seem;szukać
segment;wydawać się
seize;segment
select;przejąć
selection;wybrać
self;wybór
sell;siebie
Senate;sprzedać
senator;Senat
send;senator
senior;wysłać
sense;senior
sensitive;sens
sentence;wrażliwy
separate;zdanie
sequence;oddzielić
series;sekwencja
serious;seria
seriously;poważny
serve;poważnie
service;służyć
session;serwis
set;sesja
setting;zestaw
settle;ustawienie
settlement;rozliczenie
seven;rozliczenie
several;siedem
severe;kilka
sex;poważny
sexual;seks
shade;seksualny
shadow;odcień
shake;cień
shall;wstrząsnąć
shape;będzie
share;kształt
sharp;dzielić się
she;ostry
sheet;ona
shelf;arkusz
shell;półka
shelter;skorupa
shift;wejść na stronę
shine;zrozumieć
ship;zrozumienie
shirt;niestety
shit;uniform
shock;unia
shoe;unikalny
shoot;jednostka
shooting;Zjednoczeni
shop;uniwersalna
shopping;wszechświat
shore;uniwersytet
short;nieznany
shortly;chyba że
shot;w przeciwieństwie do
should;nieprawdopodobne
shoulder;do
shout;niezwykły
show;w górę
shower;na
shrug;górny
shut;miejski
sick;pęd
side;my
sigh;używać
sight;używany
sign;użyteczne
signal;użytkownik
significance;zwykle
significant;zazwyczaj
significantly;użytkowy
silence;wakacje
silent;dolina
silver;cenny
similar;wartość
similarly;zmienna
simple;odmiana
simply;odmiana
sin;różne
since;różnić się
sing;duży
singer;warzywo
single;pojazd
sink;przedsięwzięcie
sir;wersja
sister;kontra
sit;bardzo
site;statek
situation;weteran
six;przez
size;ofiara
ski;zwycięstwo
skill;wideo
skin;widok
sky;widz
slave;wieś
sleep;naruszenie
slice;naruszenie
slide;przemoc
slight;agresywny
slightly;praktycznie
slip;cnota
slow;wirus
slowly;widoczny
small;wizja
smart;wizyta
smell;odwiedzający
smile;wizualny
smoke;ważny
smooth;głos
snap;głośność
snow;wolontariusz
so;głosowanie
so-called;wyborca
soccer;vs
social;wrażliwy
society;płaca
soft;czekaj
software;wake
soil;spacer
solar;ściana
soldier;wędrować
solid;want
solution;wojna
solve;warm
some;warn
somebody;ostrzeżenie
somehow;wash
someone;odpady
something;zegarek
sometimes;woda
somewhat;fala
somewhere;sposób
son;my
song;słaby
soon;bogactwo
sophisticated;bogactwo
sorry;broń
sort;zużycie
soul;pogoda
sound;ślub
soup;tydzień
source;weekend
south;tygodniowy
southern;ważenie
Soviet;waga
space;witamy
Spanish;opieka społeczna
speak;dobrze
speaker;zachód
special;zachód
specialist;mokry
species;co
specific;cokolwiek
specifically;koło
speech;kiedy
speed;zawsze
spend;gdzie
spending;podczas gdy
spin;czy
spirit;które
spiritual;podczas gdy
split;szeptać
spokesman;biały
sport;kto
spot;cały
spread;kogo
spring;czyj
square;dlaczego
squeeze;szeroko
stability;szeroko
stable;szeroko
staff;żona
stage;dzika
stair;będzie
stake;chętny
stand;wygrać
standard;wiatr
standing;okno
star;wino
stare;skrzydło
start;zwycięzca
state;zima
statement;wytrzeć
station;drut
statistics;mądrość
status;mądry
stay;życzenie
steady;z
steal;wycofać
steel;w
step;bez
stick;świadek
still;kobieta
stir;cud
stock;wspaniały
stomach;drewno
stone;drewniany
stop;słowo
storage;praca
store;pracownik
storm;praca
story;prace
straight;warsztat
strange;świat
stranger;zmartwiony
strategic;martwić się
strategy;warto
stream;by
street;rana
strength;zapakować
strengthen;pisać
stress;pisarz
stretch;pisanie
strike;niesłusznie
string;podwórko
strip;tak
stroke;rok
strong;krzyk
strongly;żółty
structure;tak
struggle;wczoraj
student;jeszcze
studio;dawaj
study;ty
stuff;młody
stupid;twój
style;twój
subject;sam
submit;młodzież
subsequent;strefa
substance;
substantial;
succeed;
success;
successful;
successfully;
such;
sudden;
suddenly;
sue;
suffer;
sufficient;
sugar;
suggest;
suggestion;
suicide;
suit;
summer;
summit;
sun;
super;
supply;
support;
supporter;
suppose;
supposed;
Supreme;
sure;
surely;
surface;
surgery;
surprise;
surprised;
surprising;
surprisingly;
surround;
survey;
survival;
survive;
survivor;
suspect;
sustain;
swear;
sweep;
sweet;
swim;
swing;
switch;
symbol;
symptom;
system;
table;
tablespoon;
tactic;
tail;
take;
tale;
talent;
talk;
tall;
tank;
tap;
tape;
target;
task;
taste;
tax;
taxpayer;
tea;
teach;
teacher;
teaching;
team;
tear;
teaspoon;
technical;
technique;
technology;
teen;
teenager;
telephone;
telescope;
television;
tell;
temperature;
temporary;
ten;
tend;
tendency;
tennis;
tension;
tent;
term;
terms;
terrible;
territory;
terror;
terrorism;
terrorist;
test;
testify;
testimony;
testing;
text;
than;
thank;
thanks;
that;
the;
theater;
their;
them;
theme;
themselves;
then;
theory;
therapy;
there;
therefore;
these;
they;
thick;
thin;
thing;
think;
thinking;
third;
thirty;
this;
those;
though;
thought;
thousand;
threat;
threaten;
three;
throat;
through;
throughout;
throw;
thus;
ticket;
tie;
tight;
time;
tiny;
tip;
tire;
tired;
tissue;
title;
to;
tobacco;
today;
toe;
together;
tomato;
tomorrow;
tone;
tongue;
tonight;
too;
tool;
tooth;
top;
topic;
toss;
total;
totally;
touch;
tough;
tour;
tourist;
tournament;
toward;
towards;
tower;
town;
toy;
trace;
track;
trade;
tradition;
traditional;
traffic;
tragedy;
trail;
train;
training;
transfer;
transform;
transformation;
transition;
translate;
transportation;
travel;
treat;
treatment;
treaty;
tree;
tremendous;
trend;
trial;
tribe;
trick;
trip;
troop;
trouble;
truck;
true;
truly;
trust;
truth;
try;
tube;
tunnel;
turn;
TV;
twelve;
twenty;
twice;
twin;
two;
type;
typical;
typically;
ugly;
ultimate;
ultimately;
unable;
uncle;
under;
undergo;
understand;
understanding;
unfortunately;
uniform;
union;
unique;
unit;
United;
universal;
universe;
university;
unknown;
unless;
unlike;
unlikely;
until;
unusual;
up;
upon;
upper;
urban;
urge;
us;
use;
used;
useful;
user;
usual;
usually;
utility;
vacation;
valley;
valuable;
value;
variable;
variation;
variety;
various;
vary;
vast;
vegetable;
vehicle;
venture;
version;
versus;
very;
vessel;
veteran;
via;
victim;
victory;
video;
view;
viewer;
village;
violate;
violation;
violence;
violent;
virtually;
virtue;
virus;
visible;
vision;
visit;
visitor;
visual;
vital;
voice;
volume;
volunteer;
vote;
voter;
vs;
vulnerable;
wage;
wait;
wake;
walk;
wall;
wander;
want;
war;
warm;
warn;
warning;
wash;
waste;
watch;
water;
wave;
way;
we;
weak;
wealth;
wealthy;
weapon;
wear;
weather;
wedding;
week;
weekend;
weekly;
weigh;
weight;
welcome;
welfare;
well;
west;
western;
wet;
what;
whatever;
wheel;
when;
whenever;
where;
whereas;
whether;
which;
while;
whisper;
white;
who;
whole;
whom;
whose;
why;
wide;
widely;
widespread;
wife;
wild;
will;
willing;
win;
wind;
window;
wine;
wing;
winner;
winter;
wipe;
wire;
wisdom;
wise;
wish;
with;
withdraw;
within;
without;
witness;
woman;
wonder;
wonderful;
wood;
wooden;
word;
work;
worker;
working;
works;
workshop;
world;
worried;
worry;
worth;
would;
wound;
wrap;
write;
writer;
writing;
wrong;
yard;
yeah;
year;
yell;
yellow;
yes;
yesterday;
yet;
yield;
you;
young;
your;
yours;
yourself;
youth;
zone;
